Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Брянская область,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,34
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",34
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 12:17:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",978509
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",950080
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",0
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",692036
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",87912
6,Число погашенных избирательных бюллетеней,170132
7,Число избирательных бюллетеней в переносных ящиках для голосования,87903
8,Число бюллетеней в стационарных ящиках для голосования,691575
9,Число недействительных избирательных бюллетеней,7177
10,Число действительных избирательных бюллетеней,772301
11,Число утраченных избирательных бюллетеней,0
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,4472
,,0.57%
14,Грудинин Павел Николаевич,68375
,,8.77%
15,Жириновский Владимир Вольфович,43940
,,5.64%
16,Путин Владимир Владимирович,636087
,,81.60%
17,Собчак Ксения Анатольевна,7463
,,0.96%
18,Сурайкин Максим Александрович,4265
,,0.55%
19,Титов Борис Юрьевич,4175
,,0.54%
20,Явлинский Григорий Алексеевич,3524
,,0.45%
