Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Калининградская область,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,24
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",24
,,
,,
Дата и время подписания протокола 24.04.2018 12:33:00 Повторный,,
,,
,,
,,
,,
1,"Число избирателей, включенных в список избирателей",796445
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",733323
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",0
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",472062
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",23183
6,Число погашенных избирательных бюллетеней,238064
7,Число избирательных бюллетеней в переносных ящиках для голосования,23183
8,Число бюллетеней в стационарных ящиках для голосования,471622
9,Число недействительных избирательных бюллетеней,5618
10,Число действительных избирательных бюллетеней,489187
11,Число утраченных избирательных бюллетеней,15
12,"Число избирательных бюллетеней, не учтенных при получении",1
,,
13,Бабурин Сергей Николаевич,3384
,,0.68%
14,Грудинин Павел Николаевич,50522
,,10.21%
15,Жириновский Владимир Вольфович,29651
,,5.99%
16,Путин Владимир Владимирович,377725
,,76.34%
17,Собчак Ксения Анатольевна,12591
,,2.54%
18,Сурайкин Максим Александрович,3286
,,0.66%
19,Титов Борис Юрьевич,4744
,,0.96%
20,Явлинский Григорий Алексеевич,7284
,,1.47%
