,Unnamed: 0,Unnamed: 0.1,REGION,N_ALL,N_GIVEN,N_EARLY,N_IN,N_OUT,N_LEFT,N_PORTABLE,N_STATIC,N_INVALID,N_VALID,N_LOST,N_UNUSED,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
0,0,0,Город Байконур (Республика Казахстан),14575,12800,0,9491,168,3141,168,9491,104,9555,0,0,32,1026,628,7568,130,51,50,70,9659,0.6627101200686106
1,1,1,Территория за пределами РФ,483957,1408383,53482,403108,18026,933738,71484,402882,5801,468565,29,0,2010,23871,8224,403306,19203,1439,3079,7433,474616,0.9806986984380843
2,2,2,Республика Адыгея (Адыгея),336720,328666,0,235040,15183,78443,15182,235021,2647,247556,0,0,1165,28711,8923,203095,2060,1317,1088,1197,250223,0.7431189118555477
3,3,3,Республика Алтай,158891,156580,1186,97103,4630,53661,5816,97096,974,101938,0,0,446,21259,5376,72674,929,431,340,483,102919,0.6477333517946265
4,4,4,Республика Башкортостан,3045698,2866878,0,2186576,111258,569036,111248,2185854,18506,2278596,8,0,15845,277797,115635,1784626,28983,20429,15891,19390,2297834,0.7544523455707033
5,5,5,Республика Бурятия,603265,578925,4473,419475,29706,125271,34175,419428,5980,447623,0,0,1746,66867,29087,334381,7618,2471,1822,3631,453654,0.7519978782127258
6,6,6,Республика Дагестан,1631826,1619208,0,1395447,32041,191631,32039,1394887,6265,1420661,113,24,1781,103942,3830,1295128,3741,4395,5379,2465,1427488,0.8747795414462081
7,7,7,Республика Ингушетия,219305,209693,544,177335,1862,29952,2406,177335,710,179031,0,0,1580,10187,6570,149488,2974,677,3304,4251,179741,0.8195937165135314
8,8,8,Кабардино-Балкарская Республика,528431,534343,0,467655,17453,49232,17453,467107,628,483932,5,2,1222,20133,5006,452480,1121,1141,1658,1171,485108,0.9180157863562131
9,9,9,Республика Калмыкия,201912,200119,0,132523,8099,59497,8099,132520,1790,138829,0,0,502,16399,2734,114833,2117,675,632,937,140622,0.6964519196481636
10,10,10,Карачаево-Черкесская Республика,292031,288361,0,241477,13774,33110,13771,241300,1101,253970,0,0,676,17819,7075,223534,1132,2533,454,747,255251,0.8740544668203033
11,11,11,Республика Карелия,519667,501054,257,282899,14071,203821,14327,282638,3656,293309,6,0,2343,33693,23254,216899,6777,1927,3201,5215,297227,0.571956656859104
12,12,12,Республика Коми,674071,599737,6602,384002,16512,192619,23110,383805,5908,401007,2,0,3234,46094,41680,290716,8179,3215,3809,4080,407116,0.603966051053969
13,13,13,Республика Крым,1508701,1309349,0,1024311,55220,229816,55218,1024077,11395,1067900,2,0,2098,23773,19506,994569,17764,2267,2785,5138,1079531,0.7155367431982878
14,14,14,Республика Марий Эл,536655,509737,0,325463,31048,153226,31045,325349,3146,353248,0,0,2013,51873,24516,263725,4821,2028,2128,2144,356511,0.6643206529334489
15,15,15,Республика Мордовия,611857,586592,0,439990,36384,110214,36384,439864,3549,472699,4,0,1863,33894,20758,406480,3561,2781,1636,1726,476374,0.7785708098460915
16,16,16,Республика Саха (Якутия),643786,611220,17281,418588,21196,154155,38474,418450,4636,452288,0,0,1696,124518,18089,294166,7494,1711,2010,2604,457065,0.7099641806438786
17,17,17,Республика Северная Осетия - Алания,515157,511210,71,438279,25230,47630,25178,438139,3470,459847,0,0,1071,51026,13954,377648,1034,8398,5699,1017,463580,0.8998810071492768
18,18,18,Республика Татарстан (Татарстан),2919482,2802989,0,2155833,104476,542680,104450,2154215,18045,2240620,0,0,13030,204618,67929,1854119,29951,37969,13361,19643,2260309,0.7742157684137118
19,19,19,Республика Тыва,175102,185961,6476,146485,11046,21951,17370,146570,1160,162780,3,0,406,5762,2809,150795,1779,439,339,451,164007,0.9366369316170003
20,20,20,Удмуртская Республика,1185303,1134546,0,716357,33586,384600,33588,716290,9308,740570,3,0,4958,84981,50859,571623,11518,5301,6188,5142,749943,0.6327015117653461
21,21,21,Республика Хакасия,372528,366667,356,230967,14043,121297,14383,230865,2986,242262,4,0,1567,45276,17610,169615,3372,1593,1624,1605,245366,0.6586511617918653
22,22,22,Чеченская Республика,709635,695880,500,642850,6250,46222,6750,642632,2497,646885,73,15,7679,30012,1631,593806,3531,2093,3285,4848,649600,0.9154001705101918
23,23,23,Чувашская Республика - Чувашия,915114,921852,0,650661,46866,224322,46862,650552,9763,687651,4,1,3710,85780,36890,539036,9500,4907,3950,3878,697527,0.7622296238501433
24,24,24,Алтайский край,1822203,1650783,61,1106745,84824,459153,84869,1106390,14203,1177056,0,0,7581,281978,84785,770278,11788,7855,5532,7259,1191630,0.6539501910599422
25,25,25,Забайкальский край,790054,755211,3397,425198,29543,297073,32939,425096,5767,452268,0,0,2450,62375,45804,329911,4750,2772,2111,2095,458138,0.5798818814916449
26,26,26,Камчатский край,239045,240085,2009,154014,5907,78155,7916,153948,1920,159944,0,0,912,27432,13733,112401,2210,966,1131,1159,161930,0.6774038360978059
27,27,27,Краснодарский край,4049575,3942775,229,2825178,327900,789468,328098,2823875,26090,3125883,0,0,15876,316316,144008,2564012,30697,17100,21413,16461,3153307,0.7786760339047925
28,28,28,Красноярский край,2100869,2034473,8991,1200443,58181,766858,67163,1199820,14327,1252656,0,0,8072,161925,93628,941151,20415,8479,7761,11225,1267615,0.6033765075309312
29,29,29,Пермский край,1982962,1727208,5520,1211886,101478,408313,106943,1210963,18203,1299703,13,2,9624,138977,90132,993076,28963,10154,11859,16918,1318884,0.6651080555250176
30,30,30,Приморский край,1478748,1432295,1498,867578,34697,528518,36195,866873,14571,888497,4,0,6605,193166,63754,589384,15079,5814,6676,8019,903773,0.6111744529831993
