,REGION,N_ALL,N_EARLY,N_OUT,N_INVALID,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
0,Город Байконур (Республика Казахстан),14575,0,168,104,32,1026,628,7568,130,51,50,70,9659,0.6627101200686106
1,Территория за пределами РФ,483957,53482,18026,5801,2010,23871,8224,403306,19203,1439,3079,7433,474616,0.9806986984380843
2,Республика Адыгея (Адыгея),336720,0,15183,2647,1165,28711,8923,203095,2060,1317,1088,1197,250223,0.7431189118555477
3,Республика Алтай,158891,1186,4630,974,446,21259,5376,72674,929,431,340,483,102919,0.6477333517946265
4,Республика Башкортостан,3045698,0,111258,18506,15845,277797,115635,1784626,28983,20429,15891,19390,2297834,0.7544523455707033
5,Республика Бурятия,603265,4473,29706,5980,1746,66867,29087,334381,7618,2471,1822,3631,453654,0.7519978782127258
6,Республика Дагестан,1631826,0,32041,6265,1781,103942,3830,1295128,3741,4395,5379,2465,1427488,0.8747795414462081
7,Республика Ингушетия,219305,544,1862,710,1580,10187,6570,149488,2974,677,3304,4251,179741,0.8195937165135314
8,Кабардино-Балкарская Республика,528431,0,17453,628,1222,20133,5006,452480,1121,1141,1658,1171,485108,0.9180157863562131
9,Республика Калмыкия,201912,0,8099,1790,502,16399,2734,114833,2117,675,632,937,140622,0.6964519196481636
10,Карачаево-Черкесская Республика,292031,0,13774,1101,676,17819,7075,223534,1132,2533,454,747,255251,0.8740544668203033
11,Республика Карелия,519667,257,14071,3656,2343,33693,23254,216899,6777,1927,3201,5215,297227,0.571956656859104
12,Республика Коми,674071,6602,16512,5908,3234,46094,41680,290716,8179,3215,3809,4080,407116,0.603966051053969
13,Республика Крым,1508701,0,55220,11395,2098,23773,19506,994569,17764,2267,2785,5138,1079531,0.7155367431982878
14,Республика Марий Эл,536655,0,31048,3146,2013,51873,24516,263725,4821,2028,2128,2144,356511,0.6643206529334489
15,Республика Мордовия,611857,0,36384,3549,1863,33894,20758,406480,3561,2781,1636,1726,476374,0.7785708098460915
16,Республика Саха (Якутия),643786,17281,21196,4636,1696,124518,18089,294166,7494,1711,2010,2604,457065,0.7099641806438786
