Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Кемеровская область,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,46
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",46
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 23:10:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",2005066
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",1945218
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",591
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",1535544
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",132628
6,Число погашенных избирательных бюллетеней,276445
7,Число избирательных бюллетеней в переносных ящиках для голосования,133177
8,Число бюллетеней в стационарных ящиках для голосования,1532543
9,Число недействительных избирательных бюллетеней,10657
10,Число действительных избирательных бюллетеней,1655063
11,Число утраченных избирательных бюллетеней,10
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,7972
,,0.48%
14,Грудинин Павел Николаевич,101153
,,6.07%
15,Жириновский Владимир Вольфович,83777
,,5.03%
16,Путин Владимир Владимирович,1422919
,,85.42%
17,Собчак Ксения Анатольевна,14002
,,0.84%
18,Сурайкин Максим Александрович,7556
,,0.45%
19,Титов Борис Юрьевич,7213
,,0.43%
20,Явлинский Григорий Алексеевич,10471
,,0.63%
