Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Нижегородская область,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,61
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",61
,,
,,
,,
,,
Дата и время подписания протокола 21.03.2018 19:10:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",2618865
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",2458513
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",403
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",1595437
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",132168
6,Число погашенных избирательных бюллетеней,730505
7,Число избирательных бюллетеней в переносных ящиках для голосования,132480
8,Число бюллетеней в стационарных ящиках для голосования,1594498
9,Число недействительных избирательных бюллетеней,15107
10,Число действительных избирательных бюллетеней,1711871
11,Число утраченных избирательных бюллетеней,0
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,12037
,,0.70%
14,Грудинин Павел Николаевич,183465
,,10.62%
15,Жириновский Владимир Вольфович,111744
,,6.47%
16,Путин Владимир Владимирович,1334417
,,77.27%
17,Собчак Ксения Анатольевна,27728
,,1.61%
18,Сурайкин Максим Александрович,12320
,,0.71%
19,Титов Борис Юрьевич,14053
,,0.81%
20,Явлинский Григорий Алексеевич,16107
,,0.93%
