Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Республика Дагестан,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,54
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",54
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 13:50:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",1631826
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",1619208
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",0
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",1395447
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",32041
6,Число погашенных избирательных бюллетеней,191631
7,Число избирательных бюллетеней в переносных ящиках для голосования,32039
8,Число бюллетеней в стационарных ящиках для голосования,1394887
9,Число недействительных избирательных бюллетеней,6265
10,Число действительных избирательных бюллетеней,1420661
11,Число утраченных избирательных бюллетеней,113
12,"Число избирательных бюллетеней, не учтенных при получении",24
,,
13,Бабурин Сергей Николаевич,1781
,,0.12%
14,Грудинин Павел Николаевич,103942
,,7.28%
15,Жириновский Владимир Вольфович,3830
,,0.27%
16,Путин Владимир Владимирович,1295128
,,90.76%
17,Собчак Ксения Анатольевна,3741
,,0.26%
18,Сурайкин Максим Александрович,4395
,,0.31%
19,Титов Борис Юрьевич,5379
,,0.38%
20,Явлинский Григорий Алексеевич,2465
,,0.17%
