Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Территория за пределами РФ,,
,,
Итоги голосования,,
,,
,Число участковых избирательных комиссий,394
,"Число участковых избирательных комиссий, приступивших к передаче сведений",393
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 19:27:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",483957
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",1408383
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",53482
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",403108
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",18026
6,Число погашенных избирательных бюллетеней,933738
7,Число избирательных бюллетеней в переносных ящиках для голосования,71484
8,Число бюллетеней в стационарных ящиках для голосования,402882
9,Число недействительных избирательных бюллетеней,5801
10,Число действительных избирательных бюллетеней,468565
11,Число утраченных избирательных бюллетеней,29
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,2010
,,0.42%
14,Грудинин Павел Николаевич,23871
,,5.03%
15,Жириновский Владимир Вольфович,8224
,,1.73%
16,Путин Владимир Владимирович,403306
,,85.02%
17,Собчак Ксения Анатольевна,19203
,,4.05%
18,Сурайкин Максим Александрович,1439
,,0.30%
19,Титов Борис Юрьевич,3079
,,0.65%
20,Явлинский Григорий Алексеевич,7433
,,1.57%
