Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Ханты-Мансийский автономный округ - Югра,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,22
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",22
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 21:30:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",1130343
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",1095884
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",26633
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",745638
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",15804
6,Число погашенных избирательных бюллетеней,307809
7,Число избирательных бюллетеней в переносных ящиках для голосования,42426
8,Число бюллетеней в стационарных ящиках для голосования,745474
9,Число недействительных избирательных бюллетеней,10824
10,Число действительных избирательных бюллетеней,777076
11,Число утраченных избирательных бюллетеней,0
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,3916
,,0.50%
14,Грудинин Павел Николаевич,94785
,,12.03%
15,Жириновский Владимир Вольфович,53569
,,6.80%
16,Путин Владимир Владимирович,600404
,,76.20%
17,Собчак Ксения Анатольевна,10884
,,1.38%
18,Сурайкин Максим Александрович,4095
,,0.52%
19,Титов Борис Юрьевич,4363
,,0.55%
20,Явлинский Григорий Алексеевич,5060
,,0.64%
