Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Чувашская Республика - Чувашия,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,28
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",28
,,
,,
,,
,,
Дата и время подписания протокола 19.03.2018 10:48:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",915114
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",921852
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",0
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",650661
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",46866
6,Число погашенных избирательных бюллетеней,224322
7,Число избирательных бюллетеней в переносных ящиках для голосования,46862
8,Число бюллетеней в стационарных ящиках для голосования,650552
9,Число недействительных избирательных бюллетеней,9763
10,Число действительных избирательных бюллетеней,687651
11,Число утраченных избирательных бюллетеней,4
12,"Число избирательных бюллетеней, не учтенных при получении",1
,,
13,Бабурин Сергей Николаевич,3710
,,0.53%
14,Грудинин Павел Николаевич,85780
,,12.30%
15,Жириновский Владимир Вольфович,36890
,,5.29%
16,Путин Владимир Владимирович,539036
,,77.29%
17,Собчак Ксения Анатольевна,9500
,,1.36%
18,Сурайкин Максим Александрович,4907
,,0.70%
19,Титов Борис Юрьевич,3950
,,0.57%
20,Явлинский Григорий Алексеевич,3878
,,0.56%
