Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    город Москва,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,128
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",128
,,
,,
Дата и время подписания протокола 15.06.2018 16:10:00 Повторный,,
,,
,,
,,
,,
1,"Число избирателей, включенных в список избирателей",7543682
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",6191308
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",0
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",4348576
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",172779
6,Число погашенных избирательных бюллетеней,1669889
7,Число избирательных бюллетеней в переносных ящиках для голосования,172356
8,Число бюллетеней в стационарных ящиках для голосования,4341791
9,Число недействительных избирательных бюллетеней,66234
10,Число действительных избирательных бюллетеней,4447913
11,Число утраченных избирательных бюллетеней,79
12,"Число избирательных бюллетеней, не учтенных при получении",15
,,
13,Бабурин Сергей Николаевич,43298
,,0.96%
14,Грудинин Павел Николаевич,563429
,,12.48%
15,Жириновский Владимир Вольфович,211890
,,4.69%
16,Путин Владимир Владимирович,3199214
,,70.87%
17,Собчак Ксения Анатольевна,184144
,,4.08%
18,Сурайкин Максим Александрович,32639
,,0.72%
19,Титов Борис Юрьевич,70301
,,1.56%
20,Явлинский Григорий Алексеевич,142998
,,3.17%
